Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Coburg,61 Murray Rd,2,h,S,hockingstuart,4/3/2017,7.8,3058,2,1,1,0,,,Darebin City Council,-37.7358,144.9801,Northern Metropolitan,11204,Indoor,550000
Coburg,45 Portland St,3,h,VB,Jellis,4/3/2017,7.8,3058,3,2,3,370,110,1920,Darebin City Council,-37.744,144.9501,Northern Metropolitan,11204,Parkade,1000000
Coburg,6 Stawell St,3,h,S,Brad,4/3/2017,7.8,3058,3,1,2,386,,,Darebin City Council,-37.7364,144.96,Northern Metropolitan,11204,Underground,935500
Coburg,35 The Grove,8,u,PI,Peter,4/3/2017,7.8,3058,4,2,4,983,,,Darebin City Council,-37.7517,144.9699,Northern Metropolitan,11204,Outdoor Stall,2250000
Coburg North,3/1 Headley St,3,t,S,McGrath,4/3/2017,9.2,3058,3,1,1,178,120,2012,Darebin City Council,-37.7297,144.9645,Northern Metropolitan,3445,Carport,631000
Coburg North,5/1 Headley St,2,t,S,McGrath,4/3/2017,9.2,3058,2,1,1,145,105,2010,Darebin City Council,-37.7295,144.9641,Northern Metropolitan,3445,Detached Garage,600000
Coburg North,24 Newlands Rd,4,h,SP,Brad,4/3/2017,9.2,3058,4,1,3,498,,,Darebin City Council,-37.7329,144.9721,Northern Metropolitan,3445,Attached Garage,820000
Coburg North,4 Pixel Cct,3,h,SP,hockingstuart,4/3/2017,9.2,3058,3,2,2,173,120,2010,Darebin City Council,-37.7308,144.9832,Northern Metropolitan,3445,Indoor,715000
Coburg North,15 Portrait Wy,4,h,SN,Barry,4/3/2017,9.2,3058,,,,,,,Darebin City Council,,,Northern Metropolitan,3445,Carport,
Coburg North,53 Ronald St,3,h,SP,Barry,4/3/2017,9.2,3058,3,1,1,427,,,Darebin City Council,-37.7303,144.9773,Northern Metropolitan,3445,Detached Garage,735000
Coburg North,25 Spectrum Wy,4,h,S,Nelson,4/3/2017,9.2,3058,,,,,,,Darebin City Council,,,Northern Metropolitan,3445,Attached Garage,1180000
Collingwood,65B Hotham St,2,h,S,Nelson,4/3/2017,1.6,3066,2,2,1,0,,,Yarra City Council,-37.7969,144.9885,Northern Metropolitan,4553,Indoor,1320000
Collingwood,93 Hotham St,2,h,S,Jellis,4/3/2017,1.6,3066,2,1,0,231,,,Yarra City Council,-37.7969,144.9905,Northern Metropolitan,4553,Parkade,1430000
Collingwood,15/18 Islington St,3,t,SP,Nelson,4/3/2017,1.6,3066,3,2,2,0,151,2000,Yarra City Council,-37.8083,144.9908,Northern Metropolitan,4553,Carport,1125000
Collingwood,4/170 Oxford St,3,u,S,Jellis,4/3/2017,1.6,3066,3,2,1,15900,,,Yarra City Council,-37.8035,144.985,Northern Metropolitan,4553,Detached Garage,950000
Collingwood,6/78 Oxford St,2,u,S,Jellis,4/3/2017,1.6,3066,2,1,1,0,97,1880,Yarra City Council,-37.8035,144.985,Northern Metropolitan,4553,Attached Garage,910000
Collingwood,9/22 Stanley St,1,u,SP,Jellis,4/3/2017,1.6,3066,1,1,1,816,53,2000,Yarra City Council,-37.802,144.9848,Northern Metropolitan,4553,Indoor,452000
Collingwood,306/40 Stanley St,1,u,VB,Collins,4/3/2017,1.6,3066,1,1,1,2773,,2010,Yarra City Council,-37.802,144.9854,Northern Metropolitan,4553,Carport,440000
Doncaster,22 Glenfern Av,3,h,PI,Barry,4/3/2017,13.9,3108,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028,Detached Garage,1100000
Doncaster,28 Glenfern Av,4,h,VB,Fletchers,4/3/2017,13.9,3108,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028,Attached Garage,
Doncaster,1/4 Gregory Ct,4,t,SP,Jellis,4/3/2017,13.9,3108,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028,Indoor,1231000
Doncaster,12 Murillo Ct,5,h,PI,Ray,4/3/2017,13.9,3108,5,3,2,681,,,Manningham City Council,-37.7722,145.1309,Eastern Metropolitan,9028,Parkade,1535000
Doncaster,2 Nola St,3,h,VB,hockingstuart,4/3/2017,13.9,3108,3,2,2,819,173,1970,Manningham City Council,-37.781,145.1036,Eastern Metropolitan,9028,Underground,1125000
Elsternwick,26 Leslie St,3,h,SN,Woodards,4/3/2017,8.5,3185,3,1,2,334,93,1920,Glen Eira City Council,-37.8828,145.0135,Southern Metropolitan,4898,Outdoor Stall,
Elwood,12/27 Dickens St,2,u,S,hockingstuart,4/3/2017,7.7,3184,2,1,1,1966,85,1960,Port Phillip City Council,-37.8725,144.9848,Southern Metropolitan,8989,Parking Pad,855000
Elwood,9/201 Ormond Rd,3,u,SP,Chisholm,4/3/2017,7.7,3184,3,2,3,958,,,Port Phillip City Council,-37.8874,144.9912,Southern Metropolitan,8989,Carport,
Elwood,301/35 Ormond Rd,2,u,VB,Chisholm,4/3/2017,7.7,3184,2,2,2,2381,,2009,Port Phillip City Council,-37.8831,144.9841,Southern Metropolitan,8989,Detached Garage,1050000
Elwood,6/57 Ormond Esp,2,u,S,Chisholm,4/3/2017,7.7,3184,2,1,1,2925,,,Port Phillip City Council,-37.8867,144.9836,Southern Metropolitan,8989,Attached Garage,955000
Elwood,5/39 Shelley St,2,u,PI,hockingstuart,4/3/2017,7.7,3184,2,1,1,510,,,Port Phillip City Council,-37.881,144.9837,Southern Metropolitan,8989,Indoor,680000
Elwood,59 Spray St,3,h,S,Marshall,4/3/2017,7.7,3184,3,1,2,327,,1900,Port Phillip City Council,-37.8846,144.9879,Southern Metropolitan,8989,Parkade,1911000
Essendon,15 Albion St,4,h,SP,Nelson,4/3/2017,8,3040,4,2,1,288,210,1980,Moonee Valley City Council,-37.7562,144.9286,Western Metropolitan,9264,Underground,900000
Essendon,1/9 Ardoch St,2,u,S,Nelson,4/3/2017,8,3040,2,1,1,0,76,1980,Moonee Valley City Council,-37.7495,144.9205,Western Metropolitan,9264,Outdoor Stall,645000
Essendon,26 Brewster St,4,h,S,McDonald,4/3/2017,8,3040,4,2,4,704,,,Moonee Valley City Council,-37.7509,144.9219,Western Metropolitan,9264,Parking Pad,1965000
Essendon,52a Deakin St,3,u,S,Nelson,4/3/2017,8,3040,3,2,1,282,,,Moonee Valley City Council,-37.7491,144.8917,Western Metropolitan,9264,Carport,840000
Essendon,3/10 Kendall St,2,u,S,Nelson,4/3/2017,8,3040,2,1,1,168,77,2008,Moonee Valley City Council,-37.758,144.9311,Western Metropolitan,9264,Detached Garage,702500
Essendon,76 Ogilvie St,3,h,S,Brad,4/3/2017,8,3040,3,1,2,549,106,1950,Moonee Valley City Council,-37.7479,144.8931,Western Metropolitan,9264,Attached Garage,960000
Essendon,18 Robb St,5,h,S,Rendina,4/3/2017,8,3040,5,3,6,735,,,Moonee Valley City Council,-37.7577,144.9102,Western Metropolitan,9264,Indoor,
Essendon,32 Vanberg Rd,4,h,S,Nelson,4/3/2017,8,3040,4,2,1,291,183,1920,Moonee Valley City Council,-37.7544,144.9325,Western Metropolitan,9264,Parkade,1670000
Fairfield,96 Perry St,4,h,S,Jellis,4/3/2017,5.8,3078,4,2,4,568,196,1920,Darebin City Council,-37.7743,145.0243,Northern Metropolitan,2970,Underground,
Fitzroy,208 Kerr St,2,h,S,Nelson,4/3/2017,1.6,3065,2,2,2,0,,,Yarra City Council,-37.798,144.9837,Northern Metropolitan,5825,Carport,
Fitzroy North,2/148 Barkly St,3,h,SP,Nelson,4/3/2017,3.5,3068,,,,,,,Moreland City Council,,,Northern Metropolitan,6244,Detached Garage,1110000
Fitzroy North,129/4 Bik La,2,u,SP,Collins,4/3/2017,3.5,3068,2,2,2,4296,,2011,Moreland City Council,-37.7846,144.9785,Northern Metropolitan,6244,Attached Garage,700000
Fitzroy North,276 McKean St,3,h,S,Nelson,4/3/2017,3.5,3068,3,2,1,177,,,Moreland City Council,-37.7851,144.9934,Northern Metropolitan,6244,Indoor,2170000
Fitzroy North,59 Newry St,3,h,S,Jellis,4/3/2017,3.5,3068,3,2,0,163,128,1880,Moreland City Council,-37.7906,144.9804,Northern Metropolitan,6244,Parkade,
Fitzroy North,7/14 Rae St,1,u,SP,Jellis,4/3/2017,3.5,3068,1,1,1,0,40,1975,Moreland City Council,-37.7925,144.9786,Northern Metropolitan,6244,Carport,358500
Fitzroy North,24 Taylor St,3,h,VB,Nelson,4/3/2017,3.5,3068,3,1,0,249,,,Moreland City Council,-37.7754,144.9806,Northern Metropolitan,6244,Detached Garage,1000000
Flemington,15/17 Ascot Vale Rd,1,u,SP,Biggin,4/3/2017,4.4,3031,1,1,1,2077,,,Melbourne City Council,-37.7852,144.9216,Northern Metropolitan,3593,Attached Garage,380000
Flemington,8/39 Dover St,2,u,SP,Hodges,4/3/2017,4.4,3031,2,1,1,0,63,1970,Melbourne City Council,-37.7833,144.9255,Northern Metropolitan,3593,Indoor,425000
Flemington,1/142 Shields St,1,u,VB,Nelson,4/3/2017,4.4,3031,1,1,1,0,,1970,Melbourne City Council,-37.7839,144.9347,Northern Metropolitan,3593,Parkade,280000
Footscray,8 Buckingham St,3,h,S,Jas,4/3/2017,6.4,3011,3,2,2,204,106,1990,Maribyrnong City Council,-37.8012,144.8921,Western Metropolitan,7570,Underground,876000
Footscray,1/3 Eldridge St,1,u,S,Sweeney,4/3/2017,6.4,3011,1,1,1,0,52,1970,Maribyrnong City Council,-37.7907,144.8924,Western Metropolitan,7570,Outdoor Stall,227000
Footscray,1/15 Geelong Rd,4,t,S,Jellis,4/3/2017,6.4,3011,4,2,2,250,160,2000,Maribyrnong City Council,-37.7959,144.8989,Western Metropolitan,7570,Carport,841000
Footscray,9/55 Moreland St,2,u,SP,Jas,4/3/2017,6.4,3011,2,1,3,2794,87,2000,Maribyrnong City Council,-37.8044,144.9064,Western Metropolitan,7570,Detached Garage,605000
Footscray,1/30 Pickett St,2,u,PI,Burnham,4/3/2017,6.4,3011,2,1,1,47,35,2013,Maribyrnong City Council,-37.8014,144.8959,Western Metropolitan,7570,Attached Garage,305000
Glen Iris,4/58 Bath Rd,2,u,S,Noel,4/3/2017,9.2,3146,2,1,1,0,85,1960,Boroondara City Council,-37.8555,145.0889,Southern Metropolitan,10412,Indoor,671000
Glen Iris,52 Denman Av,4,h,S,Marshall,4/3/2017,9.2,3146,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412,Parkade,1950000
Glen Iris,3/7 Erica Av,3,t,S,Jellis,4/3/2017,9.2,3146,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412,Carport,1155000
Glen Iris,10 Grandview Av,5,h,S,Jellis,4/3/2017,9.2,3146,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412,Detached Garage,
Glen Iris,8 Kenilworth Gr,4,h,S,Jellis,4/3/2017,9.2,3146,4,2,4,1318,,,Boroondara City Council,-37.853,145.0491,Southern Metropolitan,10412,Attached Garage,3110000
Glen Iris,43 Pascoe St,3,h,S,hockingstuart,4/3/2017,9.2,3146,3,1,2,627,,,Boroondara City Council,-37.8599,145.0898,Southern Metropolitan,10412,Indoor,1780000
Glen Iris,2/11 Peace St,3,h,S,Marshall,4/3/2017,9.2,3146,3,2,2,217,163,2006,Boroondara City Council,-37.8639,145.0641,Southern Metropolitan,10412,Parkade,1425000
Glen Iris,12/39 Scott Gr,1,u,VB,Fletchers,4/3/2017,9.2,3146,1,1,0,72,,,Boroondara City Council,-37.8551,145.0495,Southern Metropolitan,10412,Carport,
Glenroy,13 Acacia St,5,h,PI,Barry,4/3/2017,13,3046,5,3,1,487,,,Moreland City Council,-37.7088,144.926,Northern Metropolitan,8870,Detached Garage,850000
Glenroy,1/38 Finchley Av,3,h,SP,Nelson,4/3/2017,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Attached Garage,
Glenroy,3/45 Isla Av,3,t,S,YPA,4/3/2017,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Carport,565000
Glenroy,21 Langton St,2,h,S,Stockdale,4/3/2017,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Detached Garage,758000
Glenroy,66 Langton St,3,h,S,Stockdale,4/3/2017,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Attached Garage,590000
Glenroy,2 Roy St,4,h,VB,Peter,4/3/2017,13,3046,4,2,1,683,138,2017,Moreland City Council,-37.6964,144.9314,Northern Metropolitan,8870,Indoor,550000
Glenroy,42 Sadie St,3,h,S,Stockdale,4/3/2017,13,3046,3,1,4,700,105,1950,Moreland City Council,-37.6988,144.9438,Northern Metropolitan,8870,Parkade,822000
Glenroy,29 Salisbury St,3,h,PN,Eview,4/3/2017,13,3046,3,1,0,680,122,1960,Moreland City Council,-37.7002,144.9193,Northern Metropolitan,8870,Underground,
Glenroy,15 Stanley St,3,h,SP,Brad,4/3/2017,13,3046,3,2,3,1029,136,1950,Moreland City Council,-37.7115,144.9147,Northern Metropolitan,8870,Outdoor Stall,980000
Glenroy,15 Valley Cr,2,h,SP,Barry,4/3/2017,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Carport,625000
Gowanbrae,12 Bluebell Cr,3,h,S,Nelson,4/3/2017,13.6,3043,,,,,,,Moreland City Council,,,Western Metropolitan,1071,Detached Garage,791000
Gowanbrae,13 Seggan Cir,3,h,S,Nelson,4/3/2017,13.6,3043,3,2,1,140,,,Moreland City Council,-37.7071,144.8959,Western Metropolitan,1071,Attached Garage,500000
Hadfield,26 South St,3,h,S,Holland,4/3/2017,12.1,3046,3,2,2,592,129,1950,Moreland City Council,-37.7149,144.9473,Northern Metropolitan,2606,Indoor,810000
Hadfield,70 West St,3,h,S,Barry,4/3/2017,12.1,3046,3,1,2,608,,,Moreland City Council,-37.7114,144.9378,Northern Metropolitan,2606,Carport,840000
Hampton,2/524 Bluff Rd,5,h,VB,hockingstuart,4/3/2017,13.7,3188,5,2,2,434,168,,Bayside City Council,-37.9361,145.0243,Southern Metropolitan,5454,Detached Garage,1400000
Hampton,8 Bronte Ct,3,h,PI,Hodges,4/3/2017,13.7,3188,3,1,3,593,125,1955,Bayside City Council,-37.9399,145.0204,Southern Metropolitan,5454,Attached Garage,1560000
Hampton,9/36 Crisp St,2,u,S,hockingstuart,4/3/2017,13.7,3188,,,,,,,Bayside City Council,,,Southern Metropolitan,5454,Indoor,665000
Hampton,1/88 Fewster Rd,2,u,VB,Buxton,4/3/2017,13.7,3188,2,1,2,0,78,,Bayside City Council,-37.939,145.0219,Southern Metropolitan,5454,Parkade,680000
Hampton,37b Retreat Rd,4,t,S,Marshall,4/3/2017,13.7,3188,,,,,,,Bayside City Council,,,Southern Metropolitan,5454,Carport,2020000
Hampton,35 Teddington Rd,3,h,S,Buxton,4/3/2017,13.7,3188,3,1,2,765,,,Bayside City Council,-37.9358,145.018,Southern Metropolitan,5454,Detached Garage,1715000
Hampton East,9/12 Bartlett St,2,u,S,Greg,4/3/2017,14.5,3188,2,1,1,0,75,1960,Bayside City Council,-37.9367,145.0322,Southern Metropolitan,2356,Attached Garage,400000
Hawthorn,118/862 Glenferrie Rd,2,u,PI,Marshall,4/3/2017,4.6,3122,2,2,1,85,82,2014,Boroondara City Council,-37.8154,145.0369,Southern Metropolitan,11308,Indoor,610000
Hawthorn,4 Osborne Ct,5,h,S,Marshall,4/3/2017,4.6,3122,5,4,3,571,145,1940,Boroondara City Council,-37.8157,145.0161,Southern Metropolitan,11308,Carport,
Hawthorn,13/175 Power St,2,u,S,Nelson,4/3/2017,4.6,3122,2,1,1,0,,,Boroondara City Council,-37.8263,145.0257,Southern Metropolitan,11308,Detached Garage,575000
Hawthorn,8/36 Power St,2,u,S,Nelson,4/3/2017,4.6,3122,2,1,1,0,,,Boroondara City Council,-37.816,145.0272,Southern Metropolitan,11308,Attached Garage,600000
Hawthorn,188e Riversdale Rd,1,u,S,Jellis,4/3/2017,4.6,3122,1,1,1,0,63,1995,Boroondara City Council,-37.8299,145.0422,Southern Metropolitan,11308,Indoor,492000
Heidelberg Heights,4 Collins St,3,h,S,Barry,4/3/2017,10.5,3081,3,1,0,505,,,Banyule City Council,-37.7375,145.0555,Eastern Metropolitan,2947,Parkade,720000
Heidelberg Heights,75 Haig St,4,h,S,Miles,4/3/2017,10.5,3081,4,2,4,481,,,Banyule City Council,-37.746,145.0511,Eastern Metropolitan,2947,Underground,1370000
Heidelberg Heights,1/40 St Hellier St,2,h,S,Jellis,4/3/2017,10.5,3081,2,2,2,275,,,Banyule City Council,-37.7494,145.0538,Eastern Metropolitan,2947,Outdoor Stall,757000
Heidelberg West,1/34 Brunei Cr,3,u,S,Barry,4/3/2017,9.4,3081,,,,,,,Banyule City Council,,,Eastern Metropolitan,2674,Parking Pad,535600
Heidelberg West,1 Goodenough Ct,3,h,S,Barry,4/3/2017,9.4,3081,3,2,0,643,,,Banyule City Council,-37.737,145.0364,Eastern Metropolitan,2674,Carport,830000
Heidelberg West,19 Ramu Pde,3,h,SN,Barry,4/3/2017,9.4,3081,3,1,0,597,93,1960,Banyule City Council,-37.7365,145.0459,Eastern Metropolitan,2674,Detached Garage,
Heidelberg West,1/11 Setani Cr,2,u,S,Miles,4/3/2017,9.4,3081,,,,,,,Banyule City Council,,,Eastern Metropolitan,2674,Attached Garage,470000
Hughesdale,13/30 Maroo St,3,u,S,Ray,4/3/2017,13,3166,3,1,2,0,,,Monash City Council,-37.8909,145.0807,Southern Metropolitan,3145,Indoor,855000
Ivanhoe,51 Elphin St,4,h,VB,Nelson,4/3/2017,7.9,3079,,,,,,,Banyule City Council,,,Eastern Metropolitan,5549,Parkade,1450000
Ivanhoe,19 Fairy St,4,h,SN,Miles,4/3/2017,7.9,3079,4,3,0,599,232,1935,Banyule City Council,-37.7768,145.0406,Eastern Metropolitan,5549,Underground,
Ivanhoe,20 Green St,4,h,S,Miles,4/3/2017,7.9,3079,4,2,2,925,208,1925,Banyule City Council,-37.7652,145.041,Eastern Metropolitan,5549,Outdoor Stall,2265000
Ivanhoe,4 Linton St,3,h,VB,Miles,4/3/2017,7.9,3079,3,2,2,665,,,Banyule City Council,-37.7714,145.0455,Eastern Metropolitan,5549,Parking Pad,1680000
Ivanhoe,5/84 Locksley Rd,2,t,VB,Miles,4/3/2017,7.9,3079,,,,,,,Banyule City Council,,,Eastern Metropolitan,5549,Carport,790000
Ivanhoe,8/74 Marshall St,2,u,SP,Miles,4/3/2017,7.9,3079,2,1,0,0,,1960,Banyule City Council,-37.7711,145.047,Eastern Metropolitan,5549,Detached Garage,440000
Ivanhoe,33 Thoresby Gr,4,h,S,Nelson,4/3/2017,7.9,3079,4,2,2,638,,,Banyule City Council,-37.7641,145.0501,Eastern Metropolitan,5549,Attached Garage,2350000
Ivanhoe,3/123 Waterdale Rd,3,t,S,Miles,4/3/2017,7.9,3079,3,2,1,108,,,Banyule City Council,-37.7668,145.0434,Eastern Metropolitan,5549,Indoor,962000
Kealba,166 Sunshine Av,4,h,SN,Barry,4/3/2017,15,3021,,,,,,,Brimbank City Council,,,Western Metropolitan,1202,Parkade,
Keilor East,16 Drew St,3,h,S,Nelson,4/3/2017,12.8,3033,3,1,2,662,,,Brimbank City Council,-37.738,144.869,Western Metropolitan,5629,Underground,935000
Keilor East,1 Giuliano Ct,3,h,VB,Nelson,4/3/2017,12.8,3033,3,2,2,288,116,1999,Brimbank City Council,-37.7514,144.8731,Western Metropolitan,5629,Carport,700000
Keilor East,44 Parkside Av,3,h,S,Moonee,4/3/2017,12.8,3033,,,,,,,Brimbank City Council,,,Western Metropolitan,5629,Detached Garage,746000
Keilor East,20 Prospect Dr,3,h,S,McDonald,4/3/2017,12.8,3033,3,2,1,549,,,Brimbank City Council,-37.7496,144.8589,Western Metropolitan,5629,Attached Garage,675000
Keilor East,15 Viewbank Dr,4,h,S,Barry,4/3/2017,12.8,3033,4,2,1,540,188,1978,Brimbank City Council,-37.7482,144.877,Western Metropolitan,5629,Indoor,816000
Kensington,14 Hardiman St,3,h,S,Nelson,4/3/2017,4.2,3031,3,1,1,199,121,1910,Melbourne City Council,-37.7957,144.932,Northern Metropolitan,5263,Parkade,1470000
Kensington,607/255 Racecourse Rd,2,u,S,Nelson,4/3/2017,4.2,3031,2,2,1,0,,,Melbourne City Council,-37.7886,144.9328,Northern Metropolitan,5263,Carport,630000
Kensington,5 Rigby La,3,t,S,Nelson,4/3/2017,4.2,3031,3,2,1,132,105,,Melbourne City Council,-37.7907,144.9247,Northern Metropolitan,5263,Detached Garage,845000
Kew,8 Campbell St,3,h,SP,Fletchers,4/3/2017,5.6,3101,3,1,1,375,,,Boroondara City Council,-37.8015,145.0505,Southern Metropolitan,10331,Attached Garage,1528500
Kew,3/81 Derby St,2,u,PI,Marshall,4/3/2017,5.6,3101,2,1,2,91,,1970,Boroondara City Council,-37.8003,145.0375,Southern Metropolitan,10331,Indoor,630000
Kew,43 Fernhurst Gr,4,h,S,RT,4/3/2017,5.6,3101,4,3,1,358,,,Boroondara City Council,-37.8034,145.0283,Southern Metropolitan,10331,Parkade,1690000
Kew,4 Orford Av,5,h,S,Marshall,4/3/2017,5.6,3101,,,,,,,Boroondara City Council,,,Southern Metropolitan,10331,Underground,3820000
Kew,2/27 Pakington St,2,u,SP,Nelson,4/3/2017,5.6,3101,2,1,1,745,72,1968,Boroondara City Council,-37.8024,145.0346,Southern Metropolitan,10331,Outdoor Stall,610000
Kew,4 Rockingham Cl,4,h,S,Marshall,4/3/2017,5.6,3101,4,2,2,649,260,1980,Boroondara City Council,-37.8117,145.0178,Southern Metropolitan,10331,Carport,
Kew,6 Wellington St,3,h,S,Nelson,4/3/2017,5.6,3101,3,2,2,597,,1970,Boroondara City Council,-37.8093,145.0299,Southern Metropolitan,10331,Detached Garage,1490000
Kew,26 Wimba Av,5,h,SN,Kay,4/3/2017,5.6,3101,,,,,,,Boroondara City Council,,,Southern Metropolitan,10331,Attached Garage,
Kew East,73 Belford Rd,3,h,S,Jellis,4/3/2017,7.5,3102,3,1,3,650,,,Boroondara City Council,-37.7955,145.0473,Southern Metropolitan,2671,Indoor,1750000
Kew East,6 Tanner Av,3,h,SP,Jellis,4/3/2017,7.5,3102,,,,,,,Boroondara City Council,,,Southern Metropolitan,2671,Parkade,1880000
Maidstone,4/27 Baird St,3,t,SP,Sweeney,4/3/2017,9.2,3012,3,2,1,156,124,2012,Maribyrnong City Council,-37.7898,144.8722,Western Metropolitan,3873,Carport,695000
Maidstone,3 Hutton St,3,h,SP,Biggin,4/3/2017,9.2,3012,3,1,1,586,,,Maribyrnong City Council,-37.786,144.871,Western Metropolitan,3873,Detached Garage,880000
Malvern,17 Chesterfield Av,4,h,S,Jellis,4/3/2017,7.4,3144,,,,,,,Stonnington City Council,,,Southern Metropolitan,4675,Attached Garage,
Malvern,1/3 Irving St,2,u,S,Marshall,4/3/2017,7.4,3144,2,1,2,0,86,1970,Stonnington City Council,-37.8597,145.0318,Southern Metropolitan,4675,Indoor,
Malvern,9/3 Irving St,2,u,S,hockingstuart,4/3/2017,7.4,3144,2,1,2,0,,,Stonnington City Council,-37.8597,145.0318,Southern Metropolitan,4675,Parkade,570500
Malvern,17/246 Wattletree Rd,2,u,VB,RT,4/3/2017,7.4,3144,2,2,2,0,,,Stonnington City Council,-37.8638,145.0379,Southern Metropolitan,4675,Carport,1350000
Malvern East,1281B Dandenong Rd,4,h,PI,Thomson,4/3/2017,11.2,3145,4,2,2,207,,,Stonnington City Council,-37.8845,145.072,Southern Metropolitan,8801,Detached Garage,1215000
Malvern East,3/919 Dandenong Rd,2,u,S,Thomson,4/3/2017,11.2,3145,2,1,1,0,,1990,Stonnington City Council,-37.8769,145.0471,Southern Metropolitan,8801,Attached Garage,447000
Malvern East,1 Deakin St,2,h,SN,Thomson,4/3/2017,11.2,3145,2,1,2,500,,,Stonnington City Council,-37.8645,145.041,Southern Metropolitan,8801,Carport,
Malvern East,17 Findon St,4,h,VB,Jellis,4/3/2017,11.2,3145,4,2,2,541,,,Stonnington City Council,-37.8717,145.0403,Southern Metropolitan,8801,Detached Garage,2200000
Malvern East,26 Fisher St,4,h,S,Jellis,4/3/2017,11.2,3145,4,2,4,720,209,1900,Stonnington City Council,-37.8811,145.0574,Southern Metropolitan,8801,Attached Garage,
Malvern East,4/2 Green Gables Av,2,u,S,Jellis,4/3/2017,11.2,3145,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801,Indoor,866000
Malvern East,12 Hilda St,4,h,VB,Jellis,4/3/2017,11.2,3145,4,3,2,567,215,1920,Stonnington City Council,-37.8742,145.0614,Southern Metropolitan,8801,Parkade,2200000
Malvern East,5 Langville Ct,4,h,S,Jellis,4/3/2017,11.2,3145,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801,Underground,
Malvern East,3/6 Peverill St,2,u,S,Noel,4/3/2017,11.2,3145,2,1,2,196,109,1970,Stonnington City Council,-37.8796,145.0876,Southern Metropolitan,8801,Outdoor Stall,790000
Malvern East,17 The Grange,4,h,S,Marshall,4/3/2017,11.2,3145,4,1,2,720,,,Stonnington City Council,-37.8753,145.0532,Southern Metropolitan,8801,Carport,2250000
Malvern East,32 Tooronga Rd,4,t,PI,Marshall,4/3/2017,11.2,3145,4,2,2,555,,,Stonnington City Council,-37.8716,145.0389,Southern Metropolitan,8801,Detached Garage,
Malvern East,2/240 Waverley Rd,2,u,S,hockingstuart,4/3/2017,11.2,3145,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801,Attached Garage,587000
Maribyrnong,43 Hillsdale Av,3,h,SP,Avion,4/3/2017,8.7,3032,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918,Indoor,
Maribyrnong,28 Hillside Cr,4,h,S,Brad,4/3/2017,8.7,3032,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918,Carport,961000
Maribyrnong,3 Village Wy,4,h,S,Nelson,4/3/2017,8.7,3032,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918,Detached Garage,979888
Melbourne,14/2 Exhibition St,2,u,S,Kay,4/3/2017,2.8,3000,2,2,1,4230,,2006,Melbourne City Council,-37.8157,144.9727,Northern Metropolitan,17496,Attached Garage,1160500
Melbourne,203/350 La Trobe St,3,u,VB,hockingstuart,4/3/2017,2.8,3000,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496,Indoor,940000
Melbourne,15/27 Queens Rd,4,u,PI,Buxton,4/3/2017,2.8,3000,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496,Parkade,
Melbourne,702/598 St Kilda Rd,3,u,S,Marshall,4/3/2017,2.8,3000,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496,Carport,1525000
Middle Park,96 Hambleton St,3,h,S,Marshall,4/3/2017,4.1,3206,3,2,0,300,,,Port Phillip City Council,-37.8477,144.9607,Southern Metropolitan,2019,Detached Garage,2956000
Mont Albert,7A Lightfoot St,4,h,S,Marshall,4/3/2017,11.8,3127,4,3,2,435,235,2005,Boroondara City Council,-37.8134,145.1047,Eastern Metropolitan,2079,Attached Garage,
Moonee Ponds,69 Aberfeldie St,4,h,S,Brad,4/3/2017,6.9,3039,4,3,2,615,201,1920,Moonee Valley City Council,-37.7617,144.9052,Western Metropolitan,6232,Indoor,1780000
Moonee Ponds,12 Athol St,6,h,VB,Nelson,4/3/2017,6.9,3039,6,3,2,912,,,Moonee Valley City Council,-37.77,144.9189,Western Metropolitan,6232,Carport,2150000
Moonee Ponds,10 Chaucer St,5,h,S,Jellis,4/3/2017,6.9,3039,5,1,1,584,,,Moonee Valley City Council,-37.7696,144.9229,Western Metropolitan,6232,Detached Garage,1730000
